metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
total_iterations,1753176929,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1753176930,1.000000,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_duration,1753176930,754.834200,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_blocked,1753176930,208.257800,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_connecting,1753176930,97.728100,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_tls_handshaking,1753176930,109.943700,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_sending,1753176930,0.000000,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_waiting,1753176930,754.417600,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_receiving,1753176930,0.416600,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_failed,1753176930,0.000000,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
vus,1753176930,1.000000,,,,,,,,,,,,,,,,
vus_max,1753176930,10.000000,,,,,,,,,,,,,,,,
total_iterations,1753176930,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1753176931,1.000000,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_duration,1753176931,403.189300,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_blocked,1753176931,212.571200,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_connecting,1753176931,100.675100,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_tls_handshaking,1753176931,111.896100,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_sending,1753176931,0.000000,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_waiting,1753176931,402.450200,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_receiving,1753176931,0.739100,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_failed,1753176931,0.000000,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_reqs,1753176931,1.000000,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_duration,1753176931,908.412600,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_blocked,1753176931,0.000000,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_connecting,1753176931,0.000000,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_tls_handshaking,1753176931,0.000000,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_sending,1753176931,0.000000,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_waiting,1753176931,908.412600,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_receiving,1753176931,0.000000,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
http_req_failed,1753176931,0.000000,,,,true,,GET,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,HTTP/1.1,default,,200,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,,
checks,1753176931,1.000000,status is 200 or redirect,,,,,,,,default,,,,,,,
checks,1753176931,1.000000,response is not empty,,,,,,,,default,,,,,,,
vus,1753176931,2.000000,,,,,,,,,,,,,,,,
vus_max,1753176931,10.000000,,,,,,,,,,,,,,,,
total_iterations,1753176931,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1753176932,1.000000,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_duration,1753176932,318.963300,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_blocked,1753176932,206.911700,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
http_req_connecting,1753176932,97.388900,,,,true,,POST,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,HTTP/1.1,default,,302,,tls1.3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,,
